名称,处方,步骤,功效,用法用量,来源,药材
挨癖丸,代赭石（火煅，醋淬至碎，研10分细）3钱，青皮（去白）3钱，木香3钱，蓬术3钱，五灵脂3钱，北大黄3钱，巴豆（压去油尽）1钱。,上为1末，醋面糊为丸，如麻子大。,乳癖谷症，腹中块病。,挨痞丸（《保婴撮要》卷五）。挨痞丸（《保婴撮要》卷五）。,《直指小儿》卷三,代赭石/青皮/木香/蓬术/五灵脂/北大黄/巴豆
懊憹散,雚芦10分，干漆2分，萹蓄2分。,上药各为细末，和匀。,伤寒心中懊憹，下利，谷道中烂伤。热患有蛔虫懊憹。,每服1钱匕，食前粥饮下，日2次。《千金方衍义》：雚芦走气分，更益以干漆破血，萹蓄杀虫，化湿热。,《外台》卷二引《范汪方》,雚芦/干漆/萹蓄
庵闾饮,庵闾子（微炒）熟干地黄（焙）蒲黄（微炒）当归（切，焙）各60克,上四味，粗捣筛。,妇人突然漏下，先多后少，日久不断。,每服9克，用水150毫升，煎至100毫升，去滓，日午、临卧空腹时韫服。,《圣济总录》卷一五二,庵闾子/熟干地黄/蒲黄/当归
庵闾子丸,庵闾子15克 白薇15克 桂心7．5克 防葵15克 桃仁15克（汤浸，去皮、尖、双仁，麸炒微黄）牛膝30克（去苗）当归15克（锉，微炒）熟干地黄7．5克 芎藭15克 鬼箭羽7．5克 干姜15克（炮裂，锉）鳖甲30克（涂醋，炙令黄，去裙襕）,上药捣罗为末，炼蜜和捣二三百杵，丸如梧桐子大。,产后月候不调，或生寒热，羸瘦，饮食无味，渐成劳证。,每于空腹时，温酒送下20丸。,《太平圣惠方》卷七十九,庵闾子/白薇/桂心/防葵/桃仁/芎藭/鬼箭羽/干姜
安魂琥珀丹,天麻1两，川芎1两，防风1两，细辛1两，白芷1两，羌活1两，川乌（炮，去皮脐）1两，荆芥穗1两，僵蚕1两，薄荷叶3两，全蝎半两，粉甘草半两，藿香半两，朱砂（细研，水飞）半两，麝香1钱，珍珠1钱，琥珀1钱。,上为细末，炼蜜为丸，如弹子大，金箔为衣。,安魂定魄，疏风顺气。主中风，左瘫右痪，口眼?斜，心神不宁；蛇伤，狗咬，破伤风，牙关紧急；小儿痘疹。,每服1丸，空心茶清或酒送下。若蛇伤，狗咬，破伤风，牙关紧急，先用1丸擦牙，后用茶清调下1丸；如小儿初觉出痘疹，即用茶清调1丸与服。,《丹溪心法附余》卷一,天麻/川芎/防风/细辛/白芷/羌活/川乌/荆芥穗/僵蚕/薄荷叶/全蝎/粉甘草/藿香/朱砂/麝香/珍珠/琥珀
安魂汤,龙眼肉18克 酸枣仁（炒捣）12克 生龙骨（捣末）15克 生牡蛎（捣末）15克 清半夏9克 茯苓片9克 生赭石（轧细）12克,,心中气血虚损，兼心下停有痰饮，致惊悸不眠。,水煎服。龙眼肉6钱，酸枣仁（炒，捣）4钱，生龙骨（捣末）5钱，生牡蛎（捣末）5钱，清半夏3钱，茯苓片3钱，生赭石（轧细）4钱。,《医学衷中参西录》上册,龙眼肉/酸枣仁/生龙骨/生牡蛎/清半夏/茯苓片/生赭石
安魂散,桔梗3钱，甘草1钱，青黛5钱，百部1钱，山豆根1钱，人参3钱，茯苓5钱，天花粉3钱。,,补土泻火，消痰逐邪。主肺气虚而中邪，目见鬼神，口出胡言，或说刀斧砍伤，或言弓矢射中，满身疼痛，呼号不已。,水煎服。,《辨证录》卷十,桔梗/甘草/青黛/百部/山豆根/人参/茯苓/天花粉
安魂定魄丹,黑铅2两，水银1两，硫黄（细研）1两。,上先销铅成水，次下水银搅令匀，良久，即下硫黄末，当为碧色，匀搅，即去火放冷，细研如粉，以软饭和丸，如绿豆大。,惊邪癫痫，天行热病，心神狂乱。,每服7丸，以新汲水研服之。,《圣惠》卷九十五,黑铅/水银/硫黄
安髓散,川芎、白芷、香附（制）各等分。,上为细末。,脑陷头疼。,生姜汁和酒服。川芎1两，香附1两，白附子1两，甘草1两，白芷1两，相草1两，牡蛎1两。,《伤科汇纂》卷七,川芎/白芷/香附
安露饮,生地3钱，丹参3钱，益母草3钱，乌贼骨6钱，茜草根（炒）1钱半，旱莲草3钱，炒蕲艾3钱。,,养阴止血。主产后恶露不绝，量较多，色红且有腥臭，腹部偶而作胀，口干心烦，舌淡红苔黄，脉数，属血热者。,水煎服。,《中医妇科治疗学》,生地/丹参/益母草/乌贼骨/茜草根/旱莲草/炒蕲艾
安阳精制膏,生川乌24g 生草乌24g 乌药24g 白蔹24g 白芷24g 白及24g 木鳖子24g 关木通24g 木瓜24g 三棱24g 莪术24g 当归24g 赤芍24g 肉桂24g 大黄48g 连翘48g 血竭10g 阿魏10g 乳香6g 没药6g 儿茶6g 薄荷脑8g 水杨酸甲酯8g 冰片8g,,消积化症，逐瘀止痛，舒筋活血，追风散寒。用于症瘕积聚，风寒湿痹，胃寒疼痛，手足麻木。,贴患处。贴患处。,《中国药典》,生川乌/生草乌/乌药/白蔹/白芷/白及/木鳖子/关木通/木瓜/三棱/莪术/当归/赤芍/肉桂/大黄/连翘/血竭/阿魏/乳香/没药/儿茶/薄荷脑/水杨酸甲酯/冰片
安贞汤,党参4钱，炮姜6分，当归2钱，半夏1钱，茯苓3钱，白术1钱，厚朴1钱，砂仁1钱，桑皮2钱，杏仁3钱，苏子1钱5分，陈香橼皮6分。,,脾痹。,,《医醇剩义》卷四,党参/炮姜/当归/半夏/茯苓/白术/厚朴/砂仁/桑皮/杏仁/苏子/陈香橼皮
安豚丹,人参5钱，白术5钱，肉桂1钱，山药1两，巴戟天5钱，蛇床子3钱，附子5分，茯苓3钱，远志1钱，甘草1钱。,,补心肾之虚，温命门、心包之火，去脾经之湿。主心包、命门二经之火衰，外感寒邪，而发奔豚，如一裹之气从心而下，直至于阴囊之间，其势甚急，不可止遏，痛不可忍。,水煎服。,《辨证录》卷九,人参/白术/肉桂/山药/巴戟天/蛇床子/附子/茯苓/远志/甘草
安血饮,白茅根20-30克，龙骨15-25克，牡蛎15-25克，生三七粉（吞服）3-5克，白芨粉10-15克，生在大黄6-10克，藕节炭（或藕汁）20-30克。,,凉血活血止血。主血热壅盛，迫血妄行。,冷水浸泡半小时，煮沸20分钟即可服用，药汁宜稍凉服用，每日1剂。,《上海中医药杂志》,白茅根/龙骨/牡蛎/生三七粉/白芨粉/生在大黄/藕节炭
安蛔理中汤,参、术、乌梅、川椒、炮姜、白茯苓、生姜。,,蛔厥，手足冷。,水煎服。,《医宗说约》卷四,参/术/乌梅/川椒/炮姜/白茯苓/生姜
安蛔汤,人参7分，白术1钱，茯苓1钱，干姜（炒黑）5分，乌梅2个，花椒（去目）3分。,上锉。,伤寒吐蛔。,水煎服。,《回春》卷二,人参/白术/茯苓/干姜/乌梅/花椒
安蛔散,乌梅肉9克 黄连 蜀椒 藿香 槟榔各3克 胡粉 白矾各1.5克,上药为散。,吐蛔。所吐蛔虫，色赤成团而活，属热者。,每服9～12克，水煎如糊，空腹时服。,《张氏医通》卷十四,乌梅肉/黄连/蜀椒/藿香/槟榔/胡粉/白矾
安蛔丸,人参、白术、干姜、甘草、川椒、乌梅。,,理中安蛔。主,,《金匮翼》卷七,人参/白术/干姜/甘草/川椒/乌梅
安虫饮,黄连、乌梅、炮姜、山楂、厚朴、芍药、使君子肉、枳实、陈皮、川楝子。,,蛔虫动，口吐清涎。,水煎服。,《观聚方要补》卷三引《幼科百效》,黄连/乌梅/炮姜/山楂/厚朴/芍药/使君子肉/枳实/陈皮/川楝子
安虫散,胡粉（炒黄）槟榔 川楝子（去皮、核）鹤虱（炒）各60克 白矾（铁器熬）7.5克 干漆（炒烟尽）15克 雄黄7.5克 巴豆霜7.5克,上为细末。,驱虫止痛。小儿虫积成团，腹中疼痛，肚腹胀满，大便秘结。（打虫）,上为细末。每服0.25～0.5克，温米饮调下，痛时服。,《小儿药证直诀》卷下,胡粉/槟榔/川楝子/鹤虱/白矾/干漆/雄黄/巴豆霜
安虫丸,干漆0.9克（杵碎，炒烟尽）雄黄 巴豆霜各3克,上为细末，面糊为丸，如黍米大。,小儿虫痛。（打虫）,量儿大小，每服5～30丸，用石榴根煎汤下；痛者，煎苦楝根汤或芜荑汤下，发时服。,《小儿药证直诀》卷下,干漆/雄黄/巴豆霜
安营饮,白术2钱，当归2钱，麦冬2钱，茯苓皮1钱，通草1钱，甘草4分，灯心5分，黄苓7分，竹叶10个。,,淋病。,,《蒿崖尊生》卷十四,白术/当归/麦冬/茯苓皮/通草/甘草/灯心/黄苓/竹叶
安营散,生地5两，通草1两半，人参1两半，紫菀2两，灯心1两半，当归3两，车前子3两，麦冬3两（去心）。,上为散。,子淋涩痛，脉微数者。,水煎3钱，去滓温服。妊娠湿热伤阴，气不施方，故小便涩痛，淋沥不已焉。生地滋阴壮水；木通利水通淋；麦冬清心润肺，以资水之上源；人参扶元补气，以助脾之气化；当归养血荣经脉；紫菀润肺，达州都；车前子清肺火，善利水道；白灯心降心火，兼利小便；为散水煮，俾湿热并解，则气化有权，而小便清利，何涩痛淋沥之不已，胎孕无不安矣。,《医略六书》卷二十八,生地/通草/人参/紫菀/灯心/当归/车前子/麦冬
安荣汤,当归（去尾）9～15克 熟地15～18克 丹参6克 淮山药9克 白芍（酒炒）4.5克 丹皮3.6克 阿胶（蛤粉炒）6克 川续断6克 甘草（炙）3克,煎就，加发灰、百草霜、败棕灰、蒲黄（炒黑，俱存性）各等分（再研）。,血分有热，崩漏日久，六脉虚弱，体亏无神。,水煎服。另用发灰、百草霜、败棕灰、蒲黄炒黑存性，各等分研匀。上药煎就后，加药末2克调服。,《会约医镜》卷十四,当归/熟地/丹参/淮山药/白芍/丹皮/阿胶/川续断/甘草
安荣散,麦门冬（去心）通草 滑石各6克 当归（去芦，酒浸）灯心 甘草（炙）各15克 人参 细辛（洗）各3克,上为细末。,妇人妊娠，平素酒色过度，伤其血气，水脏闭涩，遂成子淋。,每服9克，煎麦门冬汤调服，不拘时候。,《重订严氏济生方》,麦门冬/通草/滑石/当归/灯心/甘草/人参/细辛
安荣养胎汤,人参（少者，以山药4钱炒黄代之）1钱半，白术1钱半，归身1钱半，熟地1钱半，杜仲（姜炒）1钱半，阿胶（蛤粉炒）1钱半，艾叶8分，条芩（酒炒）1钱，黄柏（炒）1钱，白芍1钱，炙草7分（或加三七根2钱）。,,孕妇气血两虚，六脉微弱，不时下血者。,生姜、大枣为引，水煎服。,《会约》卷十四,人参/白术/归身/熟地/杜仲/阿胶/艾叶/条芩/黄柏/白芍/炙草
鼻衄丹,龙骨1钱，蒲黄1钱，茅针花5分，梅片2分。,上共为细末。,鼻衄。,吹于鼻中。,《青囊秘传》,龙骨/蒲黄/茅针花/梅片
鼻窦炎口服液,辛夷、荆芥、薄荷、桔梗、柴胡、苍耳子、白芷、川芎、黄芩、栀子、茯苓、川木通、黄芪、龙胆草,,通利鼻窍。用于鼻塞不通，流黄稠涕；急、慢性鼻炎，副鼻窦炎等。,口服，一次10ml，一日3次，20日为一疗程。口服，一次10ml，一日3次，20日为一疗程。,《中国药典》,辛夷/荆芥/薄荷/桔梗/柴胡/苍耳子/白芷/川芎/黄芩/栀子/茯苓/川木通/黄芪/龙胆草
鼻窦灌注液,辛夷花30g，白芷30g，黄耆60g，薄荷30g，羊藿叶30g，野菊花30g，桂枝30g，当归30g，栀子30g。,,辛温祛风，消炎解毒，调和气血，培补正气。主鼻渊，上颌窦炎。,鼻窦内积脓经冲洗并排清积液后，将本方灌入2～3毫升。,《中医耳鼻喉科学》,辛夷花/白芷/黄耆/薄荷/羊藿叶/野菊花/桂枝/当归/栀子
鼻痔方,明矾30克 蓖麻7个 盐梅5个（去核）麝香少许,上药捣为丸。,主鼻瘜肉。,绵裹塞鼻中，附着瘜肉，每日一换。鼻中沈出清水，其瘜肉自下。,《证治准绳·类方》卷八,明矾/蓖麻/盐梅/麝香
鼻痔散,辛夷（去毛）4两，桑白皮4两，栀子1两，枳实2两，桔梗2两，白芷2两。,上共为末。,鼻痔。,每服2钱，淡萝卜汤送下。,方出《奇方类编》卷上，名见《仙拈集》卷二,辛夷/桑白皮/栀子/枳实/桔梗/白芷
鼻痔丹,瓜蒂4钱，甘遂1钱，螺壳炭5分，草乌炭5分（一方有枯矾5分）。,上共为细末，麻油调作丸，如鼻孔大。,使痔化为水。主鼻痔。,每日以药塞鼻。,《青囊秘传》,瓜蒂/甘遂/螺壳炭/草乌炭
鼻痔丸,瓜蒂（炒）4钱，甘遂（炒）4钱，枯矾5分，松香（为衣）5分。,香油调硬些为丸。,鼻痔。,每用1丸，入鼻内点痔，1日1次。,《仙拈集》卷二,瓜蒂/甘遂/枯矾/松香
鼻疳散,乳香1钱，没药1钱，孩儿茶1钱，鸡膍胵（焙黄）1钱。,上为末。,鼻颡诸疳。,搽患处。,《仙拈集》卷二,乳香/没药/孩儿茶/鸡膍胵
鼻炎片,苍耳子、辛夷、防风、连翘、野菊花、五味子、桔梗、白芷、知母、荆芥、甘草、黄柏、麻黄、细辛,,祛风宣肺，清热解毒。用于急、慢性鼻炎。,口服，一次3～4片（糖衣片）或2片（薄膜衣片），一日3次。口服，一次3～4片（糖衣片）或2片（薄膜衣片），一日3次。,《中国药典》,苍耳子/辛夷/防风/连翘/野菊花/五味子/桔梗/白芷/知母/荆芥/甘草/黄柏/麻黄/细辛
鼻炎灵,苍耳子（捣）60g，白芷60g，辛夷60g，冰片粉6g，薄荷霜5g，芝麻油500ml，液状石腊1000ml。,将前3味与芝麻油同放锅内，浸泡24小时，加热，待炸成黑黄色捞出，再下余3味药，搅匀，冷却后过滤，分装眼药水瓶内。,疏风祛湿，芳香透窍，清热消肿，化瘀止痛，滋润粘膜，收缩息肉。主慢性鼻炎、萎缩性鼻炎、过敏性鼻炎、鼻息肉等。症见鼻粘膜充血，或干燥萎缩，鼻塞流涕，嗅觉失灵等。,用时仰头滴鼻，每次滴1～2滴，日滴1-2次。,《古今名方》,苍耳子/白芷/辛夷/冰片粉/薄荷霜/芝麻油/液状石腊
鼻炎丸,柴胡10克，薄荷10克，菊花10克，蔓荆子10克，防风10克，芥穗10克，黄芩10克，桔梗10克，川芎10克，白芷10克，枳壳10克，牛角100克，细辛5克，龙胆草5克，辛荑15克。,共为细末为密丸，每丸熏3.5克。,发表散风，清热解毒，宣肺通窍。主风寒伏郁化热，肺热不宣，重蒸清窍。,日服2-3次，每次1-2丸，孕妇慎服。,《中医杂志》,柴胡/薄荷/菊花/蔓荆子/防风/芥穗/黄芩/桔梗/川芎/白芷/枳壳/牛角/细辛/龙胆草/辛荑
鼻搐散,乌鱼骨2钱，雄黄2钱，细辛2钱，荜拨2钱，木香2钱，良姜2钱，胡椒2钱，石决明2钱，草决明2钱，龙脑少许，麝香少许，乳香少许，川芎2钱。,上为细末。,眼目内浮翳膜，瘀肉，昏痒。,先含水1口，鼻搐药末1字。吐了水，揉两目20-30次，用角瓶角眼，一时间取下病根瘀肉脂膜见效，5-7次取尽浮晕。,《永乐大典》卷一一四一二引《经验普济加减方》,乌鱼骨/雄黄/细辛/荜拨/木香/良姜/胡椒/石决明/草决明/龙脑/麝香/乳香/川芎
鼻嗅散,雄黄2钱，酒1盏。,上为末。,呕吐，服药不效者。,上煎至7分，急令嗅热气。硫黄、乳香各等分。,《仙拈集》卷一,雄黄/酒
鼻吸散,川芎2钱，白芷2钱，乳香2钱，没药2钱，雄黄2钱，火消4钱5分。,上为细末。,伤寒憎寒，头身疼痛，痘疹不出，或初出不透，风寒咳嗽；及受暑恶心，目肿，咽喉肿痛，牙疼，心腹疼痛。,用时取少许鼻中吸之。,《良朋汇集》卷五,川芎/白芷/乳香/没药/雄黄/火消
鹁鸽羹,白鹁鸽1只（切作大片）。,,消渴，饮水无度。,上用土苏一同煮熟，空腹食之。,《饮膳正要》卷二,白鹁鸽
鳖血煎丸,吴茱萸、胡黄连（锉碎，用鳖血浸1宿，同吴茱萸炒令干焦，去茱萸不用）、白芜荑仁、柴胡（去芦）各等分。,上为细末，用豮猪胆汁浸，蒸饼为丸，如绿豆大。,小儿诸疳。,每服10丸，熟水送下，不拘时候。,《卫生总微》卷十二,吴茱萸/胡黄连/白芜荑仁/柴胡
鳖血丸,人参15克 川芎 芜荑 北柴胡各30克 使君子21个 胡黄连 川黄连各60克,上用鳖血150毫升，吴茱萸30克，拌和二连，淹一宿，次早炒干透，出茱萸并血，只用二连，同余药杵末，粟米粉糊丸，麻子大。,主疳劳。,每服20丸，食前熟水下。,《世医得效方》卷十二,人参/川芎/芜荑/北柴胡/使君子/胡黄连/川黄连
